epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10629.2,0.9038,0.52018,1.10016,0.689,0.56255,0.60648,0.3535,1.66448,1.54094,1.65308,0.000396265,0.000396265,0.000396265
43,10874.9,0.89265,0.51059,1.09534,0.66631,0.58654,0.63616,0.36118,1.6481,1.47421,1.65296,0.000389661,0.000389661,0.000389661
44,11120.7,0.88815,0.50623,1.09577,0.69314,0.5316,0.61477,0.35531,1.66464,1.58113,1.67105,0.000383058,0.000383058,0.000383058
45,11365.3,0.88265,0.50128,1.08881,0.70904,0.51168,0.60899,0.34592,1.66131,1.57779,1.66517,0.000376455,0.000376455,0.000376455
46,11611.7,0.87421,0.50026,1.07994,0.62306,0.5653,0.60438,0.35268,1.65413,1.4812,1.67162,0.000369851,0.000369851,0.000369851
47,11857.5,0.86075,0.49125,1.07348,0.69702,0.54907,0.62043,0.35908,1.65566,1.46408,1.66128,0.000363248,0.000363248,0.000363248
48,12101.7,0.8568,0.48771,1.07479,0.64388,0.5639,0.61609,0.35562,1.66121,1.62559,1.67836,0.000356645,0.000356645,0.000356645
49,12350.9,0.8523,0.47994,1.07497,0.67406,0.55649,0.62544,0.36543,1.64964,1.6158,1.65476,0.000350042,0.000350042,0.000350042
50,12602.5,0.84719,0.48102,1.06824,0.67731,0.53003,0.62137,0.36068,1.63844,1.60035,1.66664,0.000343438,0.000343438,0.000343438
51,12852.2,0.83147,0.47715,1.06547,0.60781,0.56497,0.60077,0.34823,1.63865,1.6275,1.66553,0.000336835,0.000336835,0.000336835
52,13100.1,0.83073,0.46995,1.06094,0.61126,0.6093,0.6211,0.36125,1.63814,1.53848,1.664,0.000330232,0.000330232,0.000330232
53,13348,0.82437,0.46304,1.05516,0.59838,0.59541,0.60424,0.35525,1.63685,1.53487,1.66083,0.000323628,0.000323628,0.000323628
54,13598.4,0.82023,0.46261,1.05717,0.60468,0.56443,0.58612,0.34507,1.63349,1.67936,1.65144,0.000317025,0.000317025,0.000317025
